Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
315040,86186380,8192,8192,0,78.846,3222.23,1000,0,0,0,0,0,0,0,12,936,0,0,0,0,1272208,0,0,47.6529,170,0,0,0,0
315277,86186380,8192,8192,0,79.559,3492.07,1000,0,0,0,0,0,0,0,12,864,0,0,0,0,1173912,0,0,39.6284,170,0,0,0,0
315561,86186380,8192,8192,0,79.374,3795.92,1000,0,0,0,0,0,0,0,12,1097,0,0,0,0,1491356,0,0,41.9958,170,0,0,0,0
315818,86186380,8192,8192,0,78.888,3160.98,1000,0,0,0,0,0,0,0,12,943,0,0,0,0,1282480,0,0,39.9657,170,0,0,0,0
316106,86186380,8192,8192,0,78.865,3717.4,1000,0,0,0,0,0,0,0,12,1080,0,0,0,0,1468800,0,0,40.8549,170,0,0,0,0
316339,86186380,8192,8192,0,78.911,3929.83,1000,0,0,0,0,0,0,0,12,648,0,0,0,0,881280,0,0,30.2349,170,0,0,0,0
316683,86186380,8192,8192,0,78.752,3679.25,1000,0,0,0,0,0,0,0,12,1385,0,0,0,0,1883412,0,0,43.7546,170,0,0,0,0
316924,86186380,8192,8192,0,78.784,2800.01,1000,0,0,0,0,0,0,0,12,1166,14,0,28,14,1585384,17654,0,52.5558,170,0,0,0,0
317115,86186380,8192,8192,0,78.779,2987.56,1000,0,0,0,0,0,0,0,12,761,0,0,4,4,1034396,0,0,43.3357,170,0,0,0,0
317370,86186380,8192,8192,0,78.888,3789.48,1000,0,0,0,0,0,0,0,12,1002,0,0,0,0,1362720,0,0,42.7716,170,0,0,0,0
317639,86186380,8192,8192,0,78.848,3866.68,1000,0,0,0,0,0,0,0,12,1056,0,0,0,0,1436160,0,0,42.801,170,0,0,0,0
317887,86186380,8192,8192,0,79.084,3402.07,1000,0,0,0,0,0,0,0,12,864,0,0,0,0,1175040,0,0,37.9164,170,0,0,0,0
318171,86186380,8192,8192,0,79.291,3978.26,1000,0,0,0,0,0,0,0,12,888,0,0,0,0,1207680,0,0,33.9414,170,0,0,0,0
