Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
419953,468301425,7519,8192,224,78.878,3950.42,1000,1008,0,0,0,1370880,0,37.5965,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
420115,468301425,7335,8192,368,79.053,3633.68,1000,936,0,0,0,1272960,0,62.8692,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
420307,468301425,7067,8192,306,78.927,3911.94,1000,1080,0,0,0,1467296,0,61.2407,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
420469,468301425,7452,8192,576,78.837,4152.52,1000,1008,0,0,0,1370880,0,67.5298,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
420743,468301425,7543,8192,288,79.228,3882.44,1000,1008,0,0,0,1370880,0,40.0936,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
420960,468301425,7499,8192,368,78.878,3843.78,1000,936,0,0,0,1272960,0,46.902,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
421209,468301425,7415,8192,360,78.867,3582.96,1000,1056,0,0,0,1436160,0,46.1493,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
421429,468301425,7467,8192,432,78.985,3679.76,1000,960,0,0,0,1304660,0,47.3479,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
421725,468301425,7615,8192,288,78.996,3445.99,1000,1008,0,0,0,1370880,0,37.1236,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
421988,468301425,7441,8192,224,78.993,3797.29,1000,1032,0,0,0,1403332,0,42.5725,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
422219,468301425,7519,8192,398,78.977,3724.78,1000,998,0,0,0,1357092,0,47.0253,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
422497,468301425,7503,8192,224,81.033,3317.47,1000,970,0,0,0,1319200,0,37.9316,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
422799,468301425,7551,8192,224,80.088,3701.09,1000,1056,0,0,0,1436160,0,38.0373,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
423015,468301425,7470,8192,347,79.25,3364.25,1000,996,0,0,0,1354372,0,50.2059,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
423227,468301425,7471,8192,428,78.839,3157.39,1000,944,0,0,0,1283840,0,48.4443,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
423479,468301425,7525,8192,248,78.794,3501.71,1000,964,0,0,0,1310664,0,41.6876,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
423729,468301425,7455,8192,224,78.904,3637.9,1000,960,0,0,0,1305600,0,41.7573,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
423947,468301425,7135,8192,216,79.138,4143.19,1000,1128,0,0,0,1534080,0,56.3423,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
424116,468301425,7243,8192,708,79.119,4405.43,1000,1116,156,0,156,1516632,0,71.877,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
424367,468301425,7543,8192,323,78.826,3745.1,1000,971,0,0,0,1320560,0,42.0882,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
424641,468301425,7514,8192,235,79.01,3320.96,1000,1069,0,0,0,1452712,0,42.2989,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
424862,468301425,7470,8192,335,79.213,3704.11,1000,984,0,0,0,1337676,0,48.5842,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
425049,468301425,7406,8192,469,78.934,4360.44,1000,990,0,0,0,1346212,0,57.6225,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
425283,468301425,7444,8192,288,78.875,3845,1000,1049,23,0,23,1426264,0,48.651,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
425460,468301425,7359,8192,462,78.886,4053.18,1000,1006,0,0,0,1367972,0,61.7211,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
425722,468301425,7566,8192,287,78.856,4456.1,1000,986,0,0,0,1340772,0,41.0322,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
425950,468301425,7550,8192,274,78.888,4152.04,1000,843,0,0,0,1146480,0,40.221,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
426152,468301425,7261,8192,342,78.794,3522.94,1000,1077,0,0,0,1463216,0,57.7596,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
426402,468301425,7495,8192,360,78.767,4117.79,1000,1056,0,0,0,1436160,0,45.9511,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
426589,468301425,7166,8192,223,78.808,3555.3,1000,1032,0,0,0,1403520,0,60.1698,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
426884,468301425,7614,8192,287,78.931,3822.13,1000,1008,0,0,0,1370880,0,37.1344,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
427158,468301425,7646,8192,367,79.117,3433.25,1000,984,0,0,0,1338240,0,39.1114,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
427394,468301425,7567,8192,470,78.904,3883.3,1000,974,0,0,0,1324640,0,44.9795,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
427683,468301425,7551,8192,224,78.897,3754.38,1000,1057,39,0,39,1437520,0,39.7793,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
427866,468301425,7431,8192,423,79.25,4143.8,1000,967,0,0,0,1314368,0,57.4471,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0

428326,468301425,7195,8192,464,80.97,3410.83,1000,1028,0,0,0,1396764,0,67.7724,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
428568,468301425,7377,8192,227,79.67,4306.2,1000,964,0,0,0,1309912,0,43.3331,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
428832,468301425,7478,8192,192,79.194,4124.54,1000,977,0,0,0,1328720,0,40.2793,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
429053,468301425,7383,8192,296,78.873,4136.88,1000,1015,0,0,0,1379460,0,49.8025,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
